layer_index,layer_name,isoscore,avg_cosine_similarity,id_score,mev
0,0 (Embed),0.0,0.0,0.0,0.0
1,1,0.002459478152512134,0.005735880704159313,0.019424031737909433,0.5105443435934933
2,2,0.0033303378190947743,0.009383226908990294,0.023183243650884554,0.4531669925383541
3,3,0.003072820179595072,0.016937735405717524,0.021592169942333796,0.4728928244650171
4,4,0.005099675086986709,0.01819638277295188,0.02290119518424261,0.3691753095112834
5,5,0.004942958228531914,0.015932002714617144,0.022563010077551616,0.3697112178597266
6,6,0.004658185769034902,0.019540997002308602,0.024741245492322546,0.390734093833925
7,7,0.006471926342068939,0.020190603103348415,0.025472374875057054,0.3254134837195116
8,8,0.007080213655004427,0.02385044539569292,0.025572538917570102,0.3171815053701687
9,9,0.008958880057159738,0.02912297212884063,0.025244504246416347,0.27741855037509106
10,10,0.012624740644094712,0.03786417805529452,0.024645625675244406,0.21811604850566152
11,11,0.012755455279637031,0.02998635892547874,0.023952558300695547,0.20769291109367188
12,12,0.013274924722896403,0.03312798862806021,0.023042543431939965,0.19187506470458554
13,13,0.014705366239558927,0.03183012982837552,0.023049932088528874,0.1701502308782523
14,14,0.014805484611337806,0.030002493817189668,0.023173434666678108,0.16554802261416612
15,15,0.016743778126605473,0.03189252429568523,0.024814930366338694,0.15192104489019875
16,16,0.016803035500964306,0.04733166641094799,0.02404829859249143,0.17100881009710986
17,17,0.01621449245735111,0.03460603951585539,0.024494189362591526,0.1775846245772314
18,18,0.030710781238716095,0.07499481910775807,0.023936147315748467,0.11951196371561243
19,19,0.028985631164652352,0.06828180941703776,0.023424893148259598,0.12359804414286076
20,20,0.028710465170052886,0.06901507572905408,0.023604532800088937,0.12118867706483989
21,21,0.03761823329939595,0.06647303161989604,0.024184357950707027,0.10111262585864275
22,22,0.05349419058910045,0.06588904029340681,0.026381426247664718,0.07724517365091743
23,23,0.05447921576370821,0.05007587379474143,0.02618984167192052,0.0719008541179189
24,24,0.05904619627070098,0.04537035876608564,0.02702746211327395,0.06934152288280139
25,25,0.0722363258959896,0.04800912355452058,0.030676038768898087,0.06790614985740258
26,26,0.10002286566205162,0.061168959884199126,0.03357226760754116,0.052933835983841576
27,27,0.10766081627676159,0.05785563936749227,0.033438495557932074,0.05447890978027259
28,28,0.1253251598066279,0.8244907601754179,0.0332041604890608,0.041075101078225616
