layer_index,layer_name,isoscore,avg_cosine_similarity,id_score,mev
0,0 (Embed),0.027732795591130156,0.15359603153706358,0.06283365498356068,0.1967987287371597
1,1,0.0010220943154361315,0.011006109159069855,0.02752104328626651,0.7453587026107741
2,2,0.00329850258665282,0.004862231716533549,0.027156996944115802,0.5126526814477602
3,3,0.005711994788914863,0.01386403927540869,0.025131279124231017,0.3327024090090658
4,4,0.004099605976887382,0.03428854219908706,0.025416385774237892,0.46458465206195443
5,5,0.007272725793210472,0.060568748038136055,0.02725038649999448,0.33992008336572704
6,6,0.007664776578345831,0.028706223156036437,0.028787590402025276,0.33697872443570903
7,7,0.026733566830298757,0.0879860627363318,0.03296823648824387,0.14881968673578408
8,8,0.017646906353443577,0.027005546795595303,0.03177147787439084,0.21746553657868103
9,9,0.01527406221898635,0.02146962718751122,0.03316625023553127,0.25085851404109943
10,10,0.02291967222218894,0.029300333180395155,0.034885312916526544,0.19390348743956057
11,11,0.035936294770106535,0.07119142869832229,0.034052466386816145,0.14154291312715014
12,12,0.03564043803652112,0.04120574668590504,0.04214887055145212,0.16306115306120542
13,13,0.022679504549871825,0.03251238825963343,0.04082161181879774,0.21490503023075871
14,14,0.03082281784033229,0.04675813967168496,0.04180469607530298,0.1798734169992641
15,15,0.01467496786333921,0.034479413676846926,0.04101832960555172,0.2738599484022661
16,16,0.016004957089281846,0.030310199671102378,0.0408255976268507,0.2613218287131486
17,17,0.034382850468293515,0.05310087591013668,0.03780223390875584,0.16681596143931318
18,18,0.02230826132491219,0.046997279103183964,0.03874665552082432,0.21981892235824702
19,19,0.02758434554447575,0.026995935767916035,0.03754180801358718,0.19589024930192442
20,20,0.04872645989334818,0.027052485375186452,0.03732572784899838,0.13630506327898959
21,21,0.06795394607216237,0.0250940187421419,0.03754897738186148,0.1051461713551449
22,22,0.04814409681985153,0.015909168093393156,0.0385725430490337,0.13867699704530995
23,23,0.0023974109476681076,0.003025947351359526,0.042125738334171846,0.592392785594474
24,24,0.21427197569726458,0.48539273352040424,0.043177446563142964,0.03620116728114314
